,Date,VIX,10Y_Treasury_Yield,30Y_Treasury_Yield,Gold_Price,Oil_Price,EUR_USD,GDP,Unemployment_Rate,CPI,PPI,Retail_Sales,Industrial_Production,Non_Farm_Payrolls,Housing_Starts
291,2020-08-09,22.209999084472656,0.5619999766349792,1.2289999723434448,2010.0999755859373,41.220001220703125,1.1876484155654907,21647.64,10.2,258.408,193.0,535644.0,95.0144,139240.0,1523.0
292,2020-08-16,22.049999237060547,0.7089999914169312,1.4420000314712524,1937.0,42.0099983215332,1.1816558837890625,21647.64,10.2,258.408,193.0,535644.0,95.0144,139240.0,1523.0
293,2020-08-23,22.540000915527344,0.6399999856948853,1.3530000448226929,1934.5999755859373,42.34000015258789,1.1873664855957031,21647.64,10.2,258.408,193.0,535644.0,95.0144,139240.0,1523.0
294,2020-08-30,22.959999084472656,0.7289999723434448,1.5080000162124634,1964.5999755859373,42.970001220703125,1.1819632053375244,21647.64,10.2,258.408,193.0,535644.0,95.0144,139240.0,1523.0
295,2020-09-06,30.75,0.7210000157356262,1.4700000286102295,1923.9000244140625,39.77000045776367,1.1839784383773804,21647.64,10.2,258.408,193.0,535644.0,95.0144,139240.0,1523.0
296,2020-09-13,26.8700008392334,0.6690000295639038,1.4170000553131104,1937.800048828125,37.33000183105469,1.1824384927749634,21647.64,10.2,258.408,193.0,535644.0,95.0144,139240.0,1523.0
297,2020-09-20,25.82999992370605,0.6940000057220459,1.4529999494552612,1952.0999755859373,41.11000061035156,1.1848200559616089,21647.64,10.2,258.408,193.0,535644.0,95.0144,139240.0,1523.0
298,2020-09-27,26.3799991607666,0.6589999794960022,1.4049999713897705,1857.699951171875,40.25,1.1673243045806885,21647.64,10.2,258.408,193.0,535644.0,95.0144,139240.0,1523.0
299,2020-10-04,27.6299991607666,0.6959999799728394,1.4809999465942385,1900.199951171875,37.04999923706055,1.1744946241378784,22024.502,6.8,260.249,196.5,549271.0,96.4292,142493.0,1543.0
300,2020-10-11,25.0,0.7749999761581421,1.5740000009536743,1919.5,40.59999847412109,1.1767003536224363,22024.502,6.8,260.249,196.5,549271.0,96.4292,142493.0,1543.0
301,2020-10-18,27.40999984741211,0.7440000176429749,1.5290000438690186,1900.800048828125,40.880001068115234,1.1707134246826172,22024.502,6.8,260.249,196.5,549271.0,96.4292,142493.0,1543.0
302,2020-10-25,27.549999237060547,0.8410000205039978,1.6449999809265137,1902.0,39.84999847412109,1.1815024614334106,22024.502,6.8,260.249,196.5,549271.0,96.4292,142493.0,1543.0
303,2020-11-01,38.02000045776367,0.8600000143051147,1.6399999856948853,1877.4000244140625,35.790000915527344,1.1678695678710938,22024.502,6.8,260.249,196.5,549271.0,96.4292,142493.0,1543.0
304,2020-11-08,24.86000061035156,0.8199999928474426,1.5989999771118164,1950.300048828125,37.13999938964844,1.1817537546157837,22024.502,6.8,260.249,196.5,549271.0,96.4292,142493.0,1543.0
