Date,Time,VIX,10Y_Treasury_Yield,30Y_Treasury_Yield,Gold_Price,Oil_Price,EUR_USD,GDP,Unemployment_Rate,CPI,PPI,Retail_Sales,Industrial_Production,Non_Farm_Payrolls,Housing_Starts
5/7/2017,20:20,-0.34447265,0.03251098,0.30023918,-0.73318136,-0.4702461,0.045311145,-0.7571142,-0.27787787,-0.5435038,-0.55510426,-0.95100355,0.21455802,-0.094740234,-0.5950065
5/14/2017,21:20,-0.29014465,0.010307843,0.21100758,-0.7618866,-0.44754124,0.10849883,-0.7508471,-0.24181473,-0.5838838,-0.5260252,-0.9288107,0.17288886,-0.10937152,-0.62326735
5/21/2017,22:20,-0.28758588,0.020928582,0.19291708,-0.77668536,-0.43147624,0.058021683,-0.6931758,-0.2719163,-0.59554267,-0.5187589,-0.86794573,0.116021566,-0.081187755,-0.6639172
5/28/2017,23:20,-0.29555508,0.04283403,0.1971928,-0.7357662,-0.36889175,0.030353636,-0.64548326,-0.317327,-0.610141,-0.5133772,-0.8497804,0.16807535,-0.07714442,-0.60938936
6/4/2017,0:20,-0.28186637,0.103116915,0.26847392,-0.69181997,-0.38585138,0.06953508,-0.6392697,-0.3053376,-0.5458492,-0.4967009,-0.8253444,0.18433902,-0.073272206,-0.5937633
6/11/2017,1:20,-0.25698373,0.035527647,0.24435505,-0.63539064,-0.3968252,0.08595163,-0.67214215,-0.26635385,-0.5245707,-0.4884731,-0.8281344,0.16298282,-0.048154626,-0.5513738
6/18/2017,2:20,-0.23261371,0.07336355,0.2123486,-0.6382059,-0.3992294,0.071938336,-0.64129066,-0.24545947,-0.56082416,-0.5126489,-0.7690371,0.113329865,-0.07165729,-0.538463
6/25/2017,3:20,-0.18797028,0.06484422,0.10150683,-0.56989443,-0.38935468,0.08294909,-0.5496347,-0.25883207,-0.5905503,-0.49911368,-0.68558407,0.049513042,-0.08125426,-0.54813004
7/2/2017,4:20,-0.23109877,0.08740694,0.095930785,-0.5618645,-0.39041904,0.09450116,-0.5969653,-0.2628546,-0.55405986,-0.48502895,-0.7269982,0.06634228,-0.0892067,-0.53798133
7/9/2017,5:20,-0.24337105,0.08785185,0.14639924,-0.5630987,-0.42001012,0.11771778,-0.6255778,-0.23658693,-0.5104644,-0.45824727,-0.787876,0.09190629,-0.0462054,-0.51019025
7/16/2017,6:20,-0.2827687,0.04158546,0.15398285,-0.58889747,-0.4455757,0.11671063,-0.67119634,-0.23879594,-0.5182767,-0.527974,-0.8434998,0.16637665,-0.11436496,-0.48733702
7/23/2017,7:20,-0.32459724,0.019356737,0.18953358,-0.6906739,-0.36497915,0.09671463,-0.6844213,-0.2556541,-0.5242182,-0.5366193,-0.85373735,0.22663552,-0.10805978,-0.45555434
7/30/2017,8:20,-0.28241333,-0.022777202,0.17882484,-0.62081593,-0.36459133,0.18573897,-0.644119,-0.2654107,-0.5223959,-0.53164303,-0.8010061,0.1897677,-0.13039114,-0.5445077
8/6/2017,9:20,-0.30904433,-0.042780228,0.14796135,-0.68381095,-0.35469323,0.08104749,-0.70083237,-0.32376367,-0.55371,-0.54104495,-0.82956034,0.17324018,-0.08547703,-0.5250332
